meeting,lock_date,sonia,forward,implied_change_bp,p_cut,p_hold,p_hike,source_file
minutes-2015-08,2015-08-04,0.4575,0.4635,0.6,0.0,0.9759,0.0241,OIS daily data_2009 to 2015.xlsx
minutes-2015-09,2015-09-08,0.4536,0.4632,0.96,0.0,0.9618,0.0382,OIS daily data_2009 to 2015.xlsx
minutes-2015-10,2015-10-05,0.4591,0.4621,0.3,0.0,0.9881,0.0119,OIS daily data_2009 to 2015.xlsx
minutes-2015-11,2015-11-03,0.4629,0.4581,-0.48,0.0193,0.9807,0.0,OIS daily data_2009 to 2015.xlsx
minutes-2015-12,2015-12-08,0.4615,0.4493,-1.22,0.0486,0.9514,0.0,OIS daily data_2009 to 2015.xlsx
minutes-2016-01,2016-01-12,0.4636,0.4658,0.22,0.0,0.991,0.009,OIS daily data_2016 to 2024.xlsx
minutes-2016-02,2016-02-02,0.4663,0.4619,-0.44,0.0176,0.9824,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-03,2016-03-15,0.466,0.4618,-0.42,0.0168,0.9832,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-04,2016-04-12,0.4722,0.463,-0.92,0.0368,0.9632,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-05,2016-05-10,0.4606,0.4613,0.07,0.0,0.9972,0.0028,OIS daily data_2016 to 2024.xlsx
minutes-2016-06,2016-06-14,0.4593,0.4263,-3.3,0.1322,0.8678,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-07,2016-07-12,0.4598,0.1881,-27.17,1.0,0.0,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-08,2016-08-02,0.4604,0.2058,-25.46,1.0,0.0,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-09,2016-09-13,0.22,0.2009,-1.91,0.0766,0.9234,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-11,2016-11-01,0.2122,0.2014,-1.08,0.0432,0.9568,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2016-12,2016-12-13,0.2163,0.2189,0.26,0.0,0.9896,0.0104,OIS daily data_2016 to 2024.xlsx
minutes-2017-02,2017-01-31,0.2078,0.2154,0.76,0.0,0.9696,0.0304,OIS daily data_2016 to 2024.xlsx
minutes-2017-03,2017-03-14,0.2106,0.2089,-0.17,0.0069,0.9931,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2017-05,2017-05-09,0.2142,0.2134,-0.08,0.0033,0.9967,0.0,OIS daily data_2016 to 2024.xlsx
minutes-2017-06,2017-06-13,0.2122,0.2083,-0.39,0.0158,0.9842,0.0,OIS daily data_2016 to 2024.xlsx
