meeting,date,decided_rate,prev_decided_rate,actual_change_bp,implied_change_bp,surprise_bp
minutes-2015-09,2015-09-10,0.005,0.005,0.0,0.96,-0.96
minutes-2015-10,2015-10-07,0.005,0.005,0.0,0.3,-0.3
minutes-2015-11,2015-11-05,0.005,0.005,0.0,-0.48,0.48
minutes-2015-12,2015-12-10,0.005,0.005,0.0,-1.22,1.22
minutes-2016-01,2016-01-14,0.005,0.005,0.0,0.22,-0.22
minutes-2016-02,2016-02-04,0.005,0.005,0.0,-0.44,0.44
minutes-2016-03,2016-03-17,0.005,0.005,0.0,-0.42,0.42
minutes-2016-04,2016-04-14,0.005,0.005,0.0,-0.92,0.92
minutes-2016-05,2016-05-12,0.005,0.005,0.0,0.07,-0.07
minutes-2016-06,2016-06-16,0.005,0.005,0.0,-3.3,3.3
minutes-2016-07,2016-07-14,0.005,0.005,0.0,-27.17,27.17
minutes-2016-08,2016-08-04,0.0025,0.005,-25.0,-25.46,0.46
minutes-2016-09,2016-09-15,0.0025,0.0025,0.0,-1.91,1.91
minutes-2016-11,2016-11-03,0.0025,0.0025,0.0,-1.08,1.08
minutes-2016-12,2016-12-15,0.0025,0.0025,0.0,0.26,-0.26
minutes-2017-02,2017-02-02,0.0025,0.0025,0.0,0.76,-0.76
minutes-2017-03,2017-03-16,0.0025,0.0025,0.0,-0.17,0.17
minutes-2017-05,2017-05-11,0.0025,0.0025,0.0,-0.08,0.08
minutes-2017-06,2017-06-15,0.0025,0.0025,0.0,-0.39,0.39
minutes-2017-08,2017-08-03,0.0025,0.0025,0.0,2.19,-2.19
minutes-2017-09,2017-09-14,0.0025,0.0025,0.0,2.71,-2.71
minutes-2017-11,2017-11-02,0.005,0.0025,25.0,22.53,2.47
minutes-2017-12,2017-12-14,0.005,0.005,0.0,-0.21,0.21
minutes-2018-02,2018-02-08,0.005,0.005,0.0,-0.24,0.24
minutes-2018-03,2018-03-22,0.005,0.005,0.0,4.69,-4.69
minutes-2018-05,2018-05-10,0.005,0.005,0.0,2.1,-2.1
minutes-2018-06,2018-06-21,0.005,0.005,0.0,3.45,-3.45
minutes-2018-08,2018-08-02,0.0075,0.005,25.0,23.46,1.54
minutes-2018-09,2018-09-13,0.0075,0.0075,0.0,0.54,-0.54
minutes-2018-11,2018-11-01,0.0075,0.0075,0.0,0.92,-0.92
minutes-2018-12,2018-12-20,0.0075,0.0075,0.0,0.12,-0.12
minutes-2019-02,2019-02-07,0.0075,0.0075,0.0,0.64,-0.64
minutes-2019-03,2019-03-21,0.0075,0.0075,0.0,0.48,-0.48
minutes-2019-05,2019-05-02,0.0075,0.0075,0.0,-0.13,0.13
minutes-2019-06,2019-06-20,0.0075,0.0075,0.0,0.58,-0.58
minutes-2019-08,2019-08-01,0.0075,0.0075,0.0,0.51,-0.51
minutes-2019-09,2019-09-19,0.0075,0.0075,0.0,-0.71,0.71
minutes-2019-11,2019-11-07,0.0075,0.0075,0.0,-1.7,1.7
minutes-2019-12,2019-12-19,0.0075,0.0075,0.0,-2.04,2.04
minutes-2020-01,2020-01-30,0.0075,0.0075,0.0,-12.24,12.24
minutes-2020-03,2020-03-26,0.001,0.001,0.0,0.02,-0.02
minutes-2020-05,2020-05-07,0.001,0.001,0.0,-0.2,0.2
minutes-2020-06,2020-06-18,0.001,0.001,0.0,-0.29,0.29
minutes-2020-08,2020-08-05,0.001,0.001,0.0,-0.32,0.32
minutes-2020-09,2020-09-17,0.001,0.001,0.0,0.02,-0.02
minutes-2020-11,2020-11-05,0.001,0.001,0.0,-0.18,0.18
minutes-2020-12,2020-12-17,0.001,0.001,0.0,-0.58,0.58
minutes-2021-02,2021-02-04,0.001,0.001,0.0,-0.43,0.43
minutes-2021-03,2021-03-18,0.001,0.001,0.0,0.05,-0.05
minutes-2021-05,2021-05-06,0.001,0.001,0.0,0.08,-0.08
minutes-2021-06,2021-06-23,0.001,0.001,0.0,0.27,-0.27
minutes-2021-08,2021-08-05,0.001,0.001,0.0,0.3,-0.3
minutes-2021-09,2021-09-23,0.001,0.001,0.0,0.61,-0.61
minutes-2021-11,2021-11-03,0.001,0.001,0.0,17.21,-17.21
minutes-2021-12,2021-12-16,0.0025,0.001,15.0,7.25,7.75
minutes-2022-02,2022-02-03,0.005,0.0025,25.0,27.4,-2.4
minutes-2022-03,2022-03-17,0.0075,0.005,25.0,34.95,-9.95
minutes-2022-05,2022-05-05,0.01,0.0075,25.0,36.45,-11.45
minutes-2022-06,2022-06-16,0.0125,0.01,25.0,38.42,-13.42
minutes-2022-08,2022-08-04,0.0175,0.0125,50.0,54.15,-4.15
minutes-2022-09,2022-09-22,0.0225,0.0175,50.0,79.36,-29.36
minutes-2022-11,2022-11-03,0.03,0.0225,75.0,84.61,-9.61
minutes-2022-12,2022-12-15,0.035,0.03,50.0,62.31,-12.31
minutes-2023-02,2023-02-02,0.04,0.035,50.0,47.73,2.27
minutes-2023-03,2023-03-23,0.0425,0.04,25.0,15.63,9.37
minutes-2023-05,2023-05-11,0.045,0.0425,25.0,27.46,-2.46
minutes-2023-06,2023-06-22,0.05,0.045,50.0,36.0,14.0
minutes-2023-08,2023-08-03,0.0525,0.05,25.0,36.05,-11.05
minutes-2023-09,2023-09-21,0.0525,0.0525,0.0,22.22,-22.22
minutes-2023-11,2023-11-02,0.0525,0.0525,0.0,2.31,-2.31
minutes-2023-12,2023-12-14,0.0525,0.0525,0.0,0.24,-0.24
minutes-2024-02,2024-02-01,0.0525,0.0525,0.0,-0.14,0.14
minutes-2024-03,2024-03-21,0.0525,0.0525,0.0,-0.38,0.38
minutes-2024-05,2024-05-09,0.0525,0.0525,0.0,-3.41,3.41
minutes-2024-06,2024-06-20,0.0525,0.0525,0.0,-4.19,4.19
minutes-2024-08,2024-08-01,0.05,0.0525,-25.0,-14.96,-10.04
minutes-2024-09,2024-09-19,0.05,0.05,0.0,-9.14,9.14
minutes-2024-11,2024-11-07,0.0475,0.05,-25.0,-24.45,-0.55
minutes-2024-12,2024-12-19,0.0475,0.0475,0.0,-2.12,2.12
minutes-2025-02,2025-02-06,0.045,0.0475,-25.0,-25.15,0.15
minutes-2025-03,2025-03-20,0.045,0.045,0.0,-2.9,2.9
minutes-2025-05,2025-05-08,0.0425,0.045,-25.0,-28.7,3.7
minutes-2025-06,2025-06-19,0.0425,0.0425,0.0,-3.73,3.73
minutes-2025-08,2025-08-07,0.04,0.0425,-25.0,-24.1,-0.9
minutes-2025-09,2025-09-18,0.04,0.04,0.0,-0.28,0.28
minutes-2025-11,2025-11-06,0.04,0.04,0.0,-9.44,9.44
minutes-2025-12,2025-12-18,0.0375,0.04,-25.0,-22.93,-2.07
minutes-2026-02,2026-02-05,0.0375,0.0375,0.0,0.42,-0.42
minutes-2026-03,2026-03-19,0.0375,0.0375,0.0,-1.71,1.71
minutes-2026-04,2026-04-30,0.0375,0.0375,0.0,0.48,-0.48
minutes-2026-06,2026-06-18,0.0375,0.0375,0.0,0.81,-0.81
