meeting_date,decided_rate,member,preferred_rate,skew,hawkish_dissents,dovish_dissents
2015-08-06,0.005,Andrew Haldane,0.005,0.000278,1,0
2015-08-06,0.005,Ben Broadbent,0.005,0.000278,1,0
2015-08-06,0.005,David Miles,0.005,0.000278,1,0
2015-08-06,0.005,Ian McCafferty,0.0075,0.000278,1,0
2015-08-06,0.005,Jon Cunliffe,0.005,0.000278,1,0
2015-08-06,0.005,Kristin Forbes,0.005,0.000278,1,0
2015-08-06,0.005,Mark Carney,0.005,0.000278,1,0
2015-08-06,0.005,Martin Weale,0.005,0.000278,1,0
2015-08-06,0.005,Nemat Shafik,0.005,0.000278,1,0
2015-09-10,0.005,Andrew Haldane,0.005,0.000278,1,0
2015-09-10,0.005,Ben Broadbent,0.005,0.000278,1,0
2015-09-10,0.005,Gertjan Vlieghe,0.005,0.000278,1,0
2015-09-10,0.005,Ian McCafferty,0.0075,0.000278,1,0
2015-09-10,0.005,Jon Cunliffe,0.005,0.000278,1,0
2015-09-10,0.005,Kristin Forbes,0.005,0.000278,1,0
2015-09-10,0.005,Mark Carney,0.005,0.000278,1,0
2015-09-10,0.005,Martin Weale,0.005,0.000278,1,0
2015-09-10,0.005,Nemat Shafik,0.005,0.000278,1,0
2015-10-08,0.005,Andrew Haldane,0.005,0.000278,1,0
2015-10-08,0.005,Ben Broadbent,0.005,0.000278,1,0
2015-10-08,0.005,Gertjan Vlieghe,0.005,0.000278,1,0
2015-10-08,0.005,Ian McCafferty,0.0075,0.000278,1,0
2015-10-08,0.005,Jon Cunliffe,0.005,0.000278,1,0
2015-10-08,0.005,Kristin Forbes,0.005,0.000278,1,0
2015-10-08,0.005,Mark Carney,0.005,0.000278,1,0
2015-10-08,0.005,Martin Weale,0.005,0.000278,1,0
2015-10-08,0.005,Nemat Shafik,0.005,0.000278,1,0
2015-11-05,0.005,Andrew Haldane,0.005,0.000278,1,0
2015-11-05,0.005,Ben Broadbent,0.005,0.000278,1,0
2015-11-05,0.005,Gertjan Vlieghe,0.005,0.000278,1,0
2015-11-05,0.005,Ian McCafferty,0.0075,0.000278,1,0
2015-11-05,0.005,Jon Cunliffe,0.005,0.000278,1,0
2015-11-05,0.005,Kristin Forbes,0.005,0.000278,1,0
2015-11-05,0.005,Mark Carney,0.005,0.000278,1,0
2015-11-05,0.005,Martin Weale,0.005,0.000278,1,0
2015-11-05,0.005,Nemat Shafik,0.005,0.000278,1,0
2015-12-10,0.005,Andrew Haldane,0.005,0.000278,1,0
2015-12-10,0.005,Ben Broadbent,0.005,0.000278,1,0
2015-12-10,0.005,Gertjan Vlieghe,0.005,0.000278,1,0
2015-12-10,0.005,Ian McCafferty,0.0075,0.000278,1,0
2015-12-10,0.005,Jon Cunliffe,0.005,0.000278,1,0
2015-12-10,0.005,Kristin Forbes,0.005,0.000278,1,0
2015-12-10,0.005,Mark Carney,0.005,0.000278,1,0
2015-12-10,0.005,Martin Weale,0.005,0.000278,1,0
2015-12-10,0.005,Nemat Shafik,0.005,0.000278,1,0
2016-01-14,0.005,Andrew Haldane,0.005,0.000278,1,0
2016-01-14,0.005,Ben Broadbent,0.005,0.000278,1,0
2016-01-14,0.005,Gertjan Vlieghe,0.005,0.000278,1,0
2016-01-14,0.005,Ian McCafferty,0.0075,0.000278,1,0
2016-01-14,0.005,Jon Cunliffe,0.005,0.000278,1,0
2016-01-14,0.005,Kristin Forbes,0.005,0.000278,1,0
2016-01-14,0.005,Mark Carney,0.005,0.000278,1,0
2016-01-14,0.005,Martin Weale,0.005,0.000278,1,0
2016-01-14,0.005,Nemat Shafik,0.005,0.000278,1,0
2016-02-04,0.005,Andrew Haldane,0.005,0.0,0,0
2016-02-04,0.005,Ben Broadbent,0.005,0.0,0,0
2016-02-04,0.005,Gertjan Vlieghe,0.005,0.0,0,0
2016-02-04,0.005,Ian McCafferty,0.005,0.0,0,0
2016-02-04,0.005,Jon Cunliffe,0.005,0.0,0,0
2016-02-04,0.005,Kristin Forbes,0.005,0.0,0,0
2016-02-04,0.005,Mark Carney,0.005,0.0,0,0
2016-02-04,0.005,Martin Weale,0.005,0.0,0,0
2016-02-04,0.005,Nemat Shafik,0.005,0.0,0,0
2016-03-17,0.005,Andrew Haldane,0.005,0.0,0,0
2016-03-17,0.005,Ben Broadbent,0.005,0.0,0,0
2016-03-17,0.005,Gertjan Vlieghe,0.005,0.0,0,0
2016-03-17,0.005,Ian McCafferty,0.005,0.0,0,0
2016-03-17,0.005,Jon Cunliffe,0.005,0.0,0,0
2016-03-17,0.005,Kristin Forbes,0.005,0.0,0,0
2016-03-17,0.005,Mark Carney,0.005,0.0,0,0
2016-03-17,0.005,Martin Weale,0.005,0.0,0,0
2016-03-17,0.005,Nemat Shafik,0.005,0.0,0,0
2016-04-14,0.005,Andrew Haldane,0.005,0.0,0,0
2016-04-14,0.005,Ben Broadbent,0.005,0.0,0,0
2016-04-14,0.005,Gertjan Vlieghe,0.005,0.0,0,0
2016-04-14,0.005,Ian McCafferty,0.005,0.0,0,0
2016-04-14,0.005,Jon Cunliffe,0.005,0.0,0,0
2016-04-14,0.005,Kristin Forbes,0.005,0.0,0,0
2016-04-14,0.005,Mark Carney,0.005,0.0,0,0
2016-04-14,0.005,Martin Weale,0.005,0.0,0,0
2016-04-14,0.005,Nemat Shafik,0.005,0.0,0,0
2016-05-12,0.005,Andrew Haldane,0.005,0.0,0,0
2016-05-12,0.005,Ben Broadbent,0.005,0.0,0,0
2016-05-12,0.005,Gertjan Vlieghe,0.005,0.0,0,0
2016-05-12,0.005,Ian McCafferty,0.005,0.0,0,0
2016-05-12,0.005,Jon Cunliffe,0.005,0.0,0,0
2016-05-12,0.005,Kristin Forbes,0.005,0.0,0,0
2016-05-12,0.005,Mark Carney,0.005,0.0,0,0
2016-05-12,0.005,Martin Weale,0.005,0.0,0,0
2016-05-12,0.005,Nemat Shafik,0.005,0.0,0,0
2016-06-16,0.005,Andrew Haldane,0.005,0.0,0,0
2016-06-16,0.005,Ben Broadbent,0.005,0.0,0,0
2016-06-16,0.005,Gertjan Vlieghe,0.005,0.0,0,0
2016-06-16,0.005,Ian McCafferty,0.005,0.0,0,0
2016-06-16,0.005,Jon Cunliffe,0.005,0.0,0,0
2016-06-16,0.005,Kristin Forbes,0.005,0.0,0,0
2016-06-16,0.005,Mark Carney,0.005,0.0,0,0
2016-06-16,0.005,Martin Weale,0.005,0.0,0,0
